ID,Gender,Status,Children,Age,Customer_Status,Car_Owner,Customer_Service,Customer_Service_CN,Satisfaction,Business_Area,Action
83,Female,M,2,48.85,Inactive,Yes,"I thought the representative handled the initial situation badly.  The company was out of cars, with none coming in that day.  Then the representative tried to find us a car at another franchise.  There they were successful.",我认为这位代表对最初情况的处理很糟糕。公司没有车了，当天也没有车进来。然后代表试图在另一家特许经营店给我们找辆车。他们在那里取得了成功。,0,Product: Availability/Variety/Size,Free Upgrade
1307,Female,M,0,55.00,Inactive,No,"I have had a few recent rentals that have taken a very very long time, with no offer of apology.  In the most recent case, the agent subsequently offered me a car type on an upgrade coupon and then told me it was no longer available because it had just be",我最近有几次出租花了很长时间，而且没有道歉。在最近的案例中，代理商随后在升级优惠券上向我提供了一种车型，然后告诉我它不再可用，因为它刚刚被,0,Product: Availability/Variety/Size,Voucher
1737,Male,M,0,42.35,Inactive,Yes,car cost more because I didn't pay when I reserved it,车费比较高，因为我预订的时候没有付钱,0,Product: Availability/Variety/Size,Free Upgrade
3721,Male,M,2,61.71,Inactive,Yes,I didn't get the car I was told would be available.  There were some hidden fees added on to the price I was quoted.,我没有得到我被告知可以使用的汽车。我的报价中添加了一些隐藏费用。,0,Product: Availability/Variety/Size,Free Upgrade
11,Male,S,2,56.47,Active,No,If there was not a desired vehicle available the reps explored all options including competitors to assist in finding an available vehicle. This level of service brought me back not to their competitor but the company as this reflects on their overall quality.,如果没有所需的可用车辆，销售代表会探索所有选项，包括竞争对手来协助寻找可用车辆。这种水平的服务让我回到的不是他们的竞争对手，而是公司，因为这反映了他们的整体质量。,1,Product: Availability/Variety/Size,NA
0,Female,M,2,43.00,Inactive,Yes,"Initially the representative handled the situation badly.  No car was available, even next day.  Then the rep helped to find us a car in another agency.",最初，该代表处理得不好。即使第二天也没有车可用。然后代表帮我们在另一个机构找到了一辆车。,0,Product: Availability/Variety/Size,Free Upgrade
0,Female,M,0,51.00,Inactive,No,"I have had a few issues with rentals recently, with no offer of apology.  Last time, the agent offered me an upgrade coupon but now he told me it is no longer available.",我最近在租赁方面遇到了一些问题，但没有道歉。上次，代理向我提供了升级优惠券，但现在他告诉我不再可用。,0,Product: Availability/Variety/Size,Voucher
0,Male,M,0,48.50,Inactive,Yes,Car rental cost was higher because I decided to pay cash,租车费用较高，因为我决定支付现金,0,Product: Availability/Variety/Size,Free Upgrade
0,Male,M,2,65.20,Inactive,Yes,I had to pay more because of some hidden fees. It disappointed me.,由于一些隐藏费用，我不得不支付更多费用。这让我很失望。,0,Product: Availability/Variety/Size,Free Upgrade
0,Male,S,2,54.34,Active,No,Although there were no available car in category stuff assisted in finding an available vehicle.,尽管类别中没有可用的汽车，但我们仍协助寻找可用的车辆。,1,Product: Availability/Variety/Size,NA
36,Female,S,1,62.79,Inactive,Yes,They were idiots.  The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.,他们是白痴。这辆车出现了问题，他们无法轻松修复或提供替代品。,0,Product: Functioning,Free Upgrade
239,Male,M,1,46.00,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,他们没有我想要的车。给我升级了一辆我不喜欢也不想要的车。,0,Product: Availability/Variety/Size,Free Upgrade
0,Male,M,1,46.00,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,他们没有我想要的车。给我升级了一辆我不喜欢也不想要的车。,0,Product: Availability/Variety/Size,Free Upgrade
0,Male,M,1,46.00,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,他们没有我想要的车。给我升级了一辆我不喜欢也不想要的车。,0,Product: Availability/Variety/Size,Free Upgrade
0,Male,M,1,46.00,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,他们没有我想要的车。给我升级了一辆我不喜欢也不想要的车。,0,Product: Availability/Variety/Size,Free Upgrade
0,Male,M,1,46.00,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,他们没有我想要的车。给我升级了一辆我不喜欢也不想要的车。,0,Product: Availability/Variety/Size,Free Upgrade
0,Male,M,1,46.00,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,他们没有我想要的车。给我升级了一辆我不喜欢也不想要的车。,0,Product: Availability/Variety/Size,Free Upgrade
0,Male,M,1,46.00,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,他们没有我想要的车。给我升级了一辆我不喜欢也不想要的车。,0,Product: Availability/Variety/Size,Free Upgrade
0,Male,M,1,46.00,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,他们没有我想要的车。给我升级了一辆我不喜欢也不想要的车。,0,Product: Availability/Variety/Size,Free Upgrade
0,Male,M,1,46.00,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,他们没有我想要的车。给我升级了一辆我不喜欢也不想要的车。,0,Product: Availability/Variety/Size,Free Upgrade
0,Male,M,1,46.00,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,他们没有我想要的车。给我升级了一辆我不喜欢也不想要的车。,0,Product: Availability/Variety/Size,Free Upgrade
0,Male,M,1,46.00,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,他们没有我想要的车。给我升级了一辆我不喜欢也不想要的车。,0,Product: Availability/Variety/Size,Free Upgrade
247,Male,M,0,44.00,Inactive,No,"delayed shuttle, almost missed flight, bad customer service",班车延误，差点错过航班，客户服务差,0,Product: Functioning,Free Upgrade
587,Female,D,1,42.39,Active,No,I would like them to be more speedy.  Also I would like the rental company to check the car for previous damage while I am standing there.,我希望他们能更快一些。我还希望租赁公司在我站在那里时检查汽车是否有以前的损坏。,0,Product: Functioning,Free Upgrade
626,Female,S,2,41.67,Inactive,No,"The only unpleasant aspects of interacting with personnel from the company was having to wait in a long line since most windows were closed. Also, they tried really hard to sell additional insurance coverage which was obnoxious.",与公司人员互动的唯一不愉快的方面是，由于大多数窗户都关着，所以不得不排很长的队。此外，他们非常努力地出售额外的保险，这很令人讨厌。,0,Product: Functioning,Free Upgrade
686,Male,M,1,63.65,Inactive,No,"Was average, nothing out of the ordinary.  Took a long time to get the car.",很一般，没有什么异常。花了很长时间才拿到车。,0,Product: Functioning,Free Upgrade
759,Male,M,0,45.49,Inactive,No,"I haven't actually spoken with anyone from a car rental organization for quite a while.  When I did (probably about three years ago), I believe they were polite enough. However, I always hate to wait in lines when we have a lot of luggage.",实际上，我已经有一段时间没有与汽车租赁组织的任何人交谈了。当我这样做时（大约三年前），我相信他们足够有礼貌。然而，当我们有很多行李时，我总是讨厌排队等候。,0,Product: Functioning,Free Upgrade
772,Female,M,2,39.75,Active,Yes,They were too pushy in trying to sell insurance.,他们在推销保险方面过于咄咄逼人。,0,Product: Functioning,Free Upgrade
803,Male,S,1,42.23,Inactive,Yes,speed up the rental process!,加快租赁进程！,0,Product: Functioning,Free Upgrade
827,Female,S,2,52.00,Inactive,Yes,The counter girl seemed confused and she had lost our reservations. They directed us to one car and then came running out to tell us that was the wrong car and to come back to the counter. Getting directions took forever and they weren't accurate.,柜台小姐似乎很困惑，她失去了我们的预订。他们引导我们到一辆车，然后跑出来告诉我们那辆车是错误的，并让我们回到柜台。获取路线花了很长时间而且不准确。,0,Product: Functioning,Voucher
916,Female,S,1,33.49,Inactive,Yes,"For the most part, they it's been really good service.  I usually rent from the airports because it's much cheaper.  Once they charged me over and I had to hunt down the accounting department to get my money back.  it was a pain.",在大多数情况下，他们的服务非常好。我通常从机场租房，因为便宜得多。有一次他们向我收费，我不得不去找会计部门要回我的钱。这是一种痛苦。,0,Product: Functioning,Voucher
954,Female,S,0,24.00,Inactive,No,I HATE how they pressure you to buy add-on service.,我讨厌他们如何迫使你购买附加服务。,0,Product: Functioning,Voucher
1016,Male,M,1,41.91,Inactive,No,"took a long time to check in, and it would have been nice if someone explained how to get the convertible top down.",花了很长时间才办理入住，如果有人解释一下如何打开敞篷车顶就好了。,0,Product: Functioning,Free Upgrade
1110,Female,M,2,52.97,Active,No,"The agents were not friendly when I checked in initially, that was annoying because I had just spent 3 hours on a plane and wanted to be greeted with a better attitude.",当我最初办理登机手续时，工作人员并不友好，这很烦人，因为我刚刚在飞机上呆了 3 个小时，希望得到更好的态度。,0,Product: Functioning,On-demand pickup location
1148,Male,M,2,18.77,Inactive,No,they were a little slow,他们有点慢,0,Product: Functioning,Premium features
1171,Male,S,0,38.73,Active,No,I would like the reps be knowledgeable about the immediate area around the rental agency and or have maps for the area available free of charge.,我希望代表了解租赁机构周围的区域，或者免费提供该区域的地图。,0,Product: Functioning,Premium features
1190,Female,M,1,52.15,Inactive,No,"I had to wait in line for a long time to get and return the vehicle.  Also, the car was not clean.",我不得不排队等待很长时间才能取车和还车。另外，车子也不干净。,0,Product: Functioning,Voucher
1225,Female,M,0,42.35,Inactive,Yes,"The people where generally good, but overworked.  The printer went down.  The poor woman working the register was about to pull her hair out.  Customers were yelling at her, not me, but she was not in charge of the issues.",人们普遍都很好，但工作过度。打印机坏了。那位可怜的收银员正要拔掉自己的头发。顾客对她大喊大叫，而不是我，但她不负责这些问题。,0,Product: Functioning,On-demand pickup location
1243,Male,D,0,18.94,Inactive,Yes,The car I reserved was not ready.,我预订的车还没有准备好。,0,Product: Functioning,Free Upgrade
1246,Female,S,0,46.00,Inactive,No,"Had problems with windshield wipers that affected usability.  Problem was not solved.  Customer service was NOT helpful. Because of franchising, I was not able to get help from an office other than the one I rented from.  I had driven 60 miles from that location and there was another location 2 miles from where I was staying.",挡风玻璃刮水器存在问题，影响了可用性。问题没有解决。客户服务没有帮助。由于特许经营，我无法从我租用的办公室以外的办公室获得帮助。我从那个地点开车 60 英里，距离我住的地方 2 英里还有另一个地点。,0,Product: Functioning,Free Upgrade
1350,Male,M,1,52.27,Inactive,Yes,I thought that they were very short and not very friendly. I felt like they hated their job and could care less about the customer.,我觉得他们很矮而且不太友好。我觉得他们讨厌自己的工作并且不太关心客户。,0,Product: Functioning,Voucher
1365,Male,S,0,48.00,Inactive,Yes,"The only complaint I have is getting in fast, and not waiting in long lines. When I pick up a car. Or return it.",我唯一的抱怨是快速入场，而不是排长队等待。当我提车的时候。或者退货。,0,Product: Functioning,On-demand pickup location
1379,Female,S,2,36.68,Inactive,Yes,"You need more staff to accommodate travelers who are in a hurry. Specifically, cut down the wait time to either retrieve or turn in a rental car.",您需要更多的工作人员来接待匆忙的旅客。具体来说，减少取回或归还租赁汽车的等待时间。,0,Product: Functioning,On-demand pickup location
1645,Male,S,1,56.05,Inactive,No,More agents during peak hours,高峰时段代理较多,0,Product: Functioning,On-demand pickup location
1646,Male,S,2,62.75,Active,Yes,Most windows were closed.,大多数窗户都关着。,0,Product: Functioning,On-demand pickup location
