ID;Gender;Status;Children;Age;Customer_Status;Car_Owner;Customer_Service;Customer_Service_CN;Satisfaction;Business_Area;Action
83;Female;M;2;48.85;Inactive;Yes;"I thought the representative handled the initial situation badly.  The company was out of cars, with none coming in that day.  Then the representative tried to find us a car at another franchise.  There they were successful.";我認為這位代表對最初情況的處理很糟糕。 公司沒有車了，當天也沒有車進來。 然後代表試圖在另一家特許經營店給我們找輛車。 他們在那裡取得了成功。;0;Product: Availability/Variety/Size;Free Upgrade
1307;Female;M;0;55.00;Inactive;No;"I have had a few recent rentals that have taken a very very long time, with no offer of apology.  In the most recent case, the agent subsequently offered me a car type on an upgrade coupon and then told me it was no longer available because it had just be";我最近有幾次出租花了很長時間，而且沒有道歉。 在最近的案例中，代理商隨後在升級優惠券上向我提供了一種車型，然後告訴我它不再可用，因為它剛剛被;0;Product: Availability/Variety/Size;Voucher
1737;Male;M;0;42.35;Inactive;Yes;car cost more because I didn't pay when I reserved it;車費比較高，因為我預訂的時候沒有付錢;0;Product: Availability/Variety/Size;Free Upgrade
3721;Male;M;2;61.71;Inactive;Yes;I didn't get the car I was told would be available.  There were some hidden fees added on to the price I was quoted.;我沒有得到我被告知可以使用的汽車。 我的報價中添加了一些隱藏費用。;0;Product: Availability/Variety/Size;Free Upgrade
11;Male;S;2;56.47;Active;No;If there was not a desired vehicle available the reps explored all options including competitors to assist in finding an available vehicle. This level of service brought me back not to their competitor but the company as this reflects on their overall quality.;如果沒有所需的可用車輛，銷售代表會探索所有選項，包括競爭對手來協助尋找可用車輛。 這種水平的服務讓我回到的不是他們的競爭對手，而是公司，因為這反映了他們的整體品質。;1;Product: Availability/Variety/Size;NA
0;Female;M;2;43.00;Inactive;Yes;"Initially the representative handled the situation badly.  No car was available, even next day.  Then the rep helped to find us a car in another agency.";最初，該代表處理得不好。 即使第二天也沒有車可用。 然後代表幫我們在另一個機構找到了一輛車。;0;Product: Availability/Variety/Size;Free Upgrade
0;Female;M;0;51.00;Inactive;No;"I have had a few issues with rentals recently, with no offer of apology.  Last time, the agent offered me an upgrade coupon but now he told me it is no longer available.";我最近在租賃方面遇到了一些問題，但沒有道歉。 上次，代理向我提供了升級優惠券，但現在他告訴我不再可用。;0;Product: Availability/Variety/Size;Voucher
0;Male;M;0;48.50;Inactive;Yes;Car rental cost was higher because I decided to pay cash;租車費用較高，因為我決定支付現金;0;Product: Availability/Variety/Size;Free Upgrade
0;Male;M;2;65.20;Inactive;Yes;I had to pay more because of some hidden fees. It disappointed me.;由於一些隱藏費用，我不得不支付更多費用。 這讓我很失望。;0;Product: Availability/Variety/Size;Free Upgrade
0;Male;S;2;54.34;Active;No;Although there were no available car in category stuff assisted in finding an available vehicle.;儘管類別中沒有可用的汽車，但我們仍協助尋找可用的車輛。;1;Product: Availability/Variety/Size;NA
36;Female;S;1;62.79;Inactive;Yes;They were idiots.  The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;他們是白癡。 這輛車出現了問題，他們無法輕鬆修復或提供替代品。;0;Product: Functioning;Free Upgrade
239;Male;M;1;46.00;Inactive;Yes;They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;他們沒有我想要的車。 給我升級了一輛我不喜歡也不想要的車。;0;Product: Availability/Variety/Size;Free Upgrade
0;Male;M;1;46.00;Inactive;Yes;They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;他們沒有我想要的車。 給我升級了一輛我不喜歡也不想要的車。;0;Product: Availability/Variety/Size;Free Upgrade
0;Male;M;1;46.00;Inactive;Yes;They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;他們沒有我想要的車。 給我升級了一輛我不喜歡也不想要的車。;0;Product: Availability/Variety/Size;Free Upgrade
0;Male;M;1;46.00;Inactive;Yes;They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;他們沒有我想要的車。 給我升級了一輛我不喜歡也不想要的車。;0;Product: Availability/Variety/Size;Free Upgrade
0;Male;M;1;46.00;Inactive;Yes;They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;他們沒有我想要的車。 給我升級了一輛我不喜歡也不想要的車。;0;Product: Availability/Variety/Size;Free Upgrade
0;Male;M;1;46.00;Inactive;Yes;They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;他們沒有我想要的車。 給我升級了一輛我不喜歡也不想要的車。;0;Product: Availability/Variety/Size;Free Upgrade
0;Male;M;1;46.00;Inactive;Yes;They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;他們沒有我想要的車。 給我升級了一輛我不喜歡也不想要的車。;0;Product: Availability/Variety/Size;Free Upgrade
0;Male;M;1;46.00;Inactive;Yes;They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;他們沒有我想要的車。 給我升級了一輛我不喜歡也不想要的車。;0;Product: Availability/Variety/Size;Free Upgrade
0;Male;M;1;46.00;Inactive;Yes;They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;他們沒有我想要的車。 給我升級了一輛我不喜歡也不想要的車。;0;Product: Availability/Variety/Size;Free Upgrade
0;Male;M;1;46.00;Inactive;Yes;They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;他們沒有我想要的車。 給我升級了一輛我不喜歡也不想要的車。;0;Product: Availability/Variety/Size;Free Upgrade
